year,month,gpu_memory_type
2013,3,GDDR5
2013,4,GDDR5
2013,5,GDDR5
2013,6,GDDR5
2013,7,GDDR5
2013,8,GDDR5
2013,9,GDDR5
2013,10,GDDR5
2013,11,GDDR5
2013,12,GDDR5
2014,1,GDDR5
2014,2,GDDR5
2014,3,GDDR5
2014,4,GDDR5
2014,5,GDDR5
2014,6,GDDR5
2014,7,GDDR5
2014,8,GDDR5
2014,9,GDDR5
2014,10,GDDR5
2014,11,GDDR5
2014,12,GDDR5
2015,1,GDDR5
2015,2,GDDR5
2015,3,GDDR5
2015,4,GDDR5
2015,5,GDDR5
2015,6,HBM
2015,6,GDDR5
2015,7,HBM
2015,7,GDDR5
2015,8,GDDR5
2015,8,HBM
2015,9,HBM
2015,9,GDDR5
2015,10,HBM
2015,10,GDDR5
2015,11,HBM
2015,11,GDDR5
2015,12,HBM
2015,12,GDDR5
2016,1,GDDR5
2016,1,HBM
2016,2,GDDR5
2016,2,HBM
2016,3,HBM
2016,3,HBM2
2016,3,GDDR5
2016,3,GDDR5X
2016,4,HBM
2016,4,GDDR5
2016,5,GDDR5X
2016,5,GDDR5
2016,5,HBM
2016,6,HBM
2016,6,GDDR5
2016,6,GDDR5X
2016,7,GDDR5
2016,7,HBM
2016,7,GDDR5X
2016,8,HBM
2016,8,GDDR5X
2016,8,GDDR5
2016,9,HBM
2016,9,GDDR5X
2016,9,GDDR5
2016,10,GDDR5
2016,10,HBM
2016,10,GDDR5X
2016,11,HBM
2016,11,GDDR5X
2016,11,GDDR5
2016,12,GDDR5
2016,12,HBM
2016,12,GDDR5X
2017,1,GDDR5X
2017,1,HBM
2017,1,GDDR5
2017,2,HBM
2017,2,HBM2
2017,2,GDDR5
2017,2,GDDR5X
2017,3,GDDR5
2017,3,HBM
2017,3,GDDR5X
2017,3,HBM2
2017,4,HBM2
2017,4,HBM
2017,4,GDDR5X
2017,5,HBM2
2017,5,HBM
2017,5,GDDR5X
2017,6,GDDR5X
2017,6,HBM2
2017,6,HBM
2017,7,GDDR5X
2017,7,HBM
2017,7,HBM2
2017,8,GDDR5X
2017,8,HBM
2017,8,HBM2
2017,9,HBM
2017,9,GDDR5X
2017,9,HBM2
2017,10,HBM2
2017,10,GDDR5X
2017,10,HBM
2017,11,HBM
2017,11,HBM2
2017,11,GDDR5X
2017,12,HBM2
2017,12,HBM
2017,12,GDDR5X
2018,1,HBM
2018,1,HBM2
2018,1,GDDR5X
2018,2,HBM2
2018,2,HBM
2018,2,GDDR5X
2018,3,GDDR5X
2018,3,HBM
2018,3,HBM2
